slug	rank	date	genre	artist	album	year
Aphex Twin - Syro	4	September 23, 2014	IDM	Aphex Twin	Syro	2014
The War on Drugs - Lost in the Dream	3	March 18, 2014	Heartland Rock	The War on Drugs	Lost in the Dream	2014
FKA twigs - LP1	2	August 12, 2014	Alternative R&B	FKA twigs	LP1	2014
Run the Jewels - Run the Jewels 2	1	October 28, 2014	Hip Hop	Run the Jewels	Run the Jewels 2	2014
DAWN - Blackheart	50	January 15, 2015	Alternative R&B	DAWN	Blackheart	2015
Natalie Prass - Natalie Prass	49	January 27, 2015	Chamber Pop	Natalie Prass	Natalie Prass	2015
Shamir - Ratchet	48	May 19, 2015	Electropop	Shamir	Ratchet	2015
DJ Koze - DJ-Kicks	47	June 15, 2015	Downtempo	DJ Koze	DJ-Kicks	2015
Tobias Jesso Jr. - Goon	46	March 17, 2015	Singer-Songwriter	Tobias Jesso Jr.	Goon	2015
Jim O'Rourke - Simple Songs	45	May 19, 2015	Chamber Pop	Jim O'Rourke	Simple Songs	2015
Jazmine Sullivan - Reality Show	44	January 13, 2015	R&B	Jazmine Sullivan	Reality Show	2015
Destroyer - Poison Season	43	August 28, 2015	Chamber Pop	Destroyer	Poison Season	2015
Jenny Hval - Apocalypse, girl	42	June 9, 2015	Art Pop	Jenny Hval	Apocalypse, girl	2015
Jeremih - Late Nights: The Album	41	December 4, 2015	R&B	Jeremih	Late Nights: The Album	2015
Jlin - Dark Energy	40	March 24, 2015	Footwork	Jlin	Dark Energy	2015
Holly Herndon - Platform	39	May 19, 2015	Art Pop	Holly Herndon	Platform	2015
Arca - Mutant	38	November 20, 2015	Electronic	Arca	Mutant	2015
Empress Of - Me	37	September 11, 2015	Electropop	Empress Of	Me	2015
Janet Jackson - Unbreakable	36	October 2, 2015	R&B	Janet Jackson	Unbreakable	2015
Neon Indian - VEGA INTL. Night School	35	October 16, 2015	Chillwave	Neon Indian	VEGA INTL. Night School	2015
Carly Rae Jepsen - E•MO•TION	34	August 21, 2015	Dance Pop	Carly Rae Jepsen	E•MO•TION	2015
Archy Marshall - A New Place 2 Drown	33	December 10, 2015	Hip Hop	Archy Marshall	A New Place 2 Drown	2015
Dr. Dre - Compton: A Soundtrack by Dr. Dre	32	August 7, 2015	Hip Hop	Dr. Dre	Compton: A Soundtrack by Dr. Dre	2015
Kelela - Hallucinogen	31	October 9, 2015	Alternative R&B	Kelela	Hallucinogen	2015
Deerhunter - Fading Frontier	30	October 16, 2015	Indie Rock	Deerhunter	Fading Frontier	2015
Rae Sremmurd - SremmLife	29	January 6, 2015	Hip Hop	Rae Sremmurd	SremmLife	2015
Beach House - Depression Cherry	28	August 28, 2015	Dream Pop	Beach House	Depression Cherry	2015
Sleater-Kinney - No Cities to Love	27	January 20, 2015	Indie Rock	Sleater-Kinney	No Cities to Love	2015
Deafheaven - New Bermuda	26	October 2, 2015	Atmospheric Black Metal	Deafheaven	New Bermuda	2015
Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	25	March 23, 2015	Hip Hop	Earl Sweatshirt	I Don't Like Shit, I Don't Go Outside	2015
Thundercat - The Beyond / Where the Giants Roam	24	June 22, 2015	Neo-Soul	Thundercat	The Beyond / Where the Giants Roam	2015
Kurt Vile - b'lieve i'm goin down	23	September 25, 2015	Singer-Songwriter	Kurt Vile	b'lieve i'm goin down	2015
Panda Bear - Panda Bear Meets the Grim Reaper	22	January 13, 2015	Psychedelic Pop	Panda Bear	Panda Bear Meets the Grim Reaper	2015
Donnie Trumpet & The Social Experiment - Surf	21	May 29, 2015	Neo-Soul	Donnie Trumpet & The Social Experiment	Surf	2015
Floating Points - Elaenia	20	November 6, 2015	Electronic	Floating Points	Elaenia	2015
Future - DS2	19	July 17, 2015	Hip Hop	Future	DS2	2015
Julia Holter - Have You in My Wilderness	18	September 25, 2015	Art Pop	Julia Holter	Have You in My Wilderness	2015
Drake - If You're Reading This It's Too Late	17	February 12, 2015	Hip Hop	Drake	If You're Reading This It's Too Late	2015
FKA twigs - M3LL155X	16	August 13, 2015	Art Pop	FKA twigs	M3LL155X	2015
Björk - Vulnicura	15	January 20, 2015	Art Pop	Björk	Vulnicura	2015
Young Thug - Barter 6	14	April 16, 2015	Hip Hop	Young Thug	Barter 6	2015
Joanna Newsom - Divers	13	October 23, 2015	Singer-Songwriter	Joanna Newsom	Divers	2015
Father John Misty - I Love You, Honeybear	12	February 10, 2015	Singer-Songwriter	Father John Misty	I Love You, Honeybear	2015
Oneohtrix Point Never - Garden of Delete	11	November 13, 2015	Electronic	Oneohtrix Point Never	Garden of Delete	2015
Kamasi Washington - The Epic	10	May 5, 2015	Jazz Fusion	Kamasi Washington	The Epic	2015
Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit	9	March 24, 2015	Indie Rock	Courtney Barnett	Sometimes I Sit and Think, and Sometimes I Just Sit	2015
Miguel - Wildheart	8	June 30, 2015	Alternative R&B	Miguel	Wildheart	2015
D'Angelo - Black Messiah	7	December 15, 2014	Neo-Soul	D'Angelo	Black Messiah	2015
Sufjan Stevens - Carrie & Lowell	6	March 31, 2015	Indie Folk	Sufjan Stevens	Carrie & Lowell	2015
Tame Impala - Currents	5	July 17, 2015	Psychedelic Pop	Tame Impala	Currents	2015
Vince Staples - Summertime '06	4	June 30, 2015	Hip Hop	Vince Staples	Summertime '06	2015
Grimes - Art Angels	3	November 6, 2015	Art Pop	Grimes	Art Angels	2015
Jamie xx - In Colour	2	June 1, 2015	UK Bass	Jamie xx	In Colour	2015
Kendrick Lamar - To Pimp a Butterfly	1	March 16, 2015	Hip Hop	Kendrick Lamar	To Pimp a Butterfly	2015
21 Savage & Metro Boomin - Savage Mode	50	July 14, 2016	Hip Hop	21 Savage & Metro Boomin	Savage Mode	2016
Porches - Pool	49	February 5, 2016	Synthpop	Porches	Pool	2016
Frankie Cosmos - Next Thing	48	April 1, 2016	Indie Pop	Frankie Cosmos	Next Thing	2016
Kamaiyah - A Good Night in the Ghetto	47	March 14, 2016	Hip Hop	Kamaiyah	A Good Night in the Ghetto	2016
Pinegrove - Cardinal	46	February 12, 2016	Indie Rock	Pinegrove	Cardinal	2016
William Tyler - Modern Country	45	June 3, 2016	Folk	William Tyler	Modern Country	2016
Kevin Gates - Islah	44	January 29, 2016	Hip Hop	Kevin Gates	Islah	2016
Weyes Blood - Front Row Seat to Earth	43	October 21, 2016	Psychedelic Folk	Weyes Blood	Front Row Seat to Earth	2016
Vince Staples - Prima Donna	42	August 25, 2016	Hip Hop	Vince Staples	Prima Donna	2016
Huerco S. - For Those Of You Who Have Never (And Also Those Who Have)	41	June 10, 2016	Ambient	Huerco S.	For Those Of You Who Have Never (And Also Those Who Have)	2016
Vijay Iyer & Wadada Leo Smith - A Cosmic Rhythm with Each Stroke	40	March 11, 2016	Avant-Garde Jazz	Vijay Iyer & Wadada Leo Smith	A Cosmic Rhythm with Each Stroke	2016
Moodymann - DJ-Kicks	39	February 19, 2016	Deep House	Moodymann	DJ-Kicks	2016
Schoolboy Q - Blank Face LP	38	July 8, 2016	Hip Hop	Schoolboy Q	Blank Face LP	2016
King - We Are King	37	February 5, 2016	R&B	King	We Are King	2016
Jamila Woods - HEAVN	36	July 7, 2016	Alternative R&B	Jamila Woods	HEAVN	2016
Hamilton Leithauser + Rostam - I Had A Dream That You Were Mine	35	September 23, 2016	Indie Rock	Hamilton Leithauser + Rostam	I Had A Dream That You Were Mine	2016
Kevin Morby - Singing Saw	34	April 15, 2016	Folk Rock	Kevin Morby	Singing Saw	2016
Maxwell - blackSUMMERS'night	33	July 1, 2016	Neo-Soul	Maxwell	blackSUMMERS'night	2016
Elza Soares - A Mulher do Fim do Mundo	32	October 3, 2015	MPB	Elza Soares	A Mulher do Fim do Mundo	2016
Whitney - Light Upon The Lake	31	June 3, 2016	Indie Rock	Whitney	Light Upon The Lake	2016
Esperanza Spalding - Emily's D+Evolution	30	March 4, 2016	Jazz Fusion	Esperanza Spalding	Emily's D+Evolution	2016
Kaitlyn Aurelia Smith - EARS	29	April 1, 2016	Folktronica	Kaitlyn Aurelia Smith	EARS	2016
NxWorries - Yes Lawd!	28	October 21, 2016	Neo-Soul	NxWorries	Yes Lawd!	2016
Noname - Telefone	27	July 31, 2016	Hip Hop	Noname	Telefone	2016
Parquet Courts - Human Performance	26	April 8, 2016	Indie Rock	Parquet Courts	Human Performance	2016
KAYTRANADA - 99.9%	25	May 6, 2016	Electronic	KAYTRANADA	99.9%	2016
Car Seat Headrest - Teens of Denial	24	May 20, 2016	Indie Rock	Car Seat Headrest	Teens of Denial	2016
Jenny Hval - Blood Bitch	23	September 30, 2016	Art Pop	Jenny Hval	Blood Bitch	2016
YG - Still Brazy	22	June 17, 2016	Hip Hop	YG	Still Brazy	2016
Young Thug - Jeffery	21	August 26, 2016	Hip Hop	Young Thug	Jeffery	2016
Nicolas Jaar - Sirens	20	September 30, 2016	Ambient Pop	Nicolas Jaar	Sirens	2016
Rihanna - ANTI	19	January 27, 2016	R&B	Rihanna	ANTI	2016
Mitski - Puberty 2	18	June 17, 2016	Indie Rock	Mitski	Puberty 2	2016
Leonard Cohen - You Want It Darker	17	October 21, 2016	Singer-Songwriter	Leonard Cohen	You Want It Darker	2016
Kendrick Lamar - untitled unmastered.	16	March 4, 2016	Hip Hop	Kendrick Lamar	untitled unmastered.	2016
Nick Cave & The Bad Seeds - Skeleton Tree	15	September 9, 2016	Art Rock	Nick Cave & The Bad Seeds	Skeleton Tree	2016
Blood Orange - Freetown Sound	14	June 27, 2016	Alternative R&B	Blood Orange	Freetown Sound	2016
Anderson .Paak - Malibu	13	January 15, 2016	Neo-Soul	Anderson .Paak	Malibu	2016
Bon Iver - 22, A Million	12	September 30, 2016	Art Pop	Bon Iver	22, A Million	2016
Danny Brown - Atrocity Exhibition	11	September 27, 2016	Hip Hop	Danny Brown	Atrocity Exhibition	2016
Radiohead - A Moon Shaped Pool	10	May 8, 2016	Art Rock	Radiohead	A Moon Shaped Pool	2016
Angel Olsen - My Woman	9	September 2, 2016	Indie Rock	Angel Olsen	My Woman	2016
ANOHNI - Hopelessness	8	May 6, 2016	Art Pop	ANOHNI	Hopelessness	2016
A Tribe Called Quest - We got it from Here... Thank You 4 Your service	7	November 11, 2016	Hip Hop	A Tribe Called Quest	We got it from Here... Thank You 4 Your service	2016
Chance The Rapper - Coloring Book	6	May 13, 2016	Hip Hop	Chance The Rapper	Coloring Book	2016
Kanye West - The Life of Pablo	5	February 14, 2016	Hip Hop	Kanye West	The Life of Pablo	2016
David Bowie - Blackstar	4	January 8, 2016	Art Rock	David Bowie	Blackstar	2016
Beyoncé - Lemonade	3	April 23, 2016	R&B	Beyoncé	Lemonade	2016
Frank Ocean - Blonde	2	August 20, 2016	Alternative R&B	Frank Ocean	Blonde	2016
Solange - A Seat at the Table	1	September 30, 2016	Alternative R&B	Solange	A Seat at the Table	2016
Yaeji - Yaeji	50	March 31, 2017	Deep House	Yaeji	Yaeji	2017
Yaeji - EP2	50	November 3, 2017	Electronic	Yaeji	EP2	2017
Open Mike Eagle - Brick Body Kids Still Daydream	49	September 15, 2017	Hip Hop	Open Mike Eagle	Brick Body Kids Still Daydream	2017
(Sandy) Alex G - Rocket	48	May 19, 2017	Indie Rock	(Sandy) Alex G	Rocket	2017
Kehlani - SweetSexySavage	47	January 27, 2017	Alternative R&B	Kehlani	SweetSexySavage	2017
Laurel Halo - Dust	46	June 23, 2017	Ambient Pop	Laurel Halo	Dust	2017
Girlpool - Powerplant	45	May 12, 2017	Indie Pop	Girlpool	Powerplant	2017
Kaitlyn Aurelia Smith - The Kid	44	October 6, 2017	Art Pop	Kaitlyn Aurelia Smith	The Kid	2017
Lil B - Black Ken	43	August 17, 2017	Hip Hop	Lil B	Black Ken	2017
Vagabon - Infinite Worlds	42	February 24, 2017	Indie Rock	Vagabon	Infinite Worlds	2017
Zola Jesus - Okovi	41	September 8, 2017	Art Pop	Zola Jesus	Okovi	2017
The xx - I See You	40	January 13, 2017	Indie Pop	The xx	I See You	2017
Fleet Foxes - Crack-Up	39	June 16, 2017	Folk	Fleet Foxes	Crack-Up	2017
Drake - More Life	38	March 18, 2017	Hip Hop	Drake	More Life	2017
Julie Byrne - Not Even Happiness	37	January 27, 2017	Folk	Julie Byrne	Not Even Happiness	2017
Syd - Fin	36	February 3, 2017	Alternative R&B	Syd	Fin	2017
Playboi Carti - Playboi Carti	35	April 14, 2017	Hip Hop	Playboi Carti	Playboi Carti	2017
Mount Kimbie - Love What Survives	34	September 8, 2017	Future Garage	Mount Kimbie	Love What Survives	2017
Kelly Lee Owens - Kelly Lee Owens	33	March 24, 2017	Tech House	Kelly Lee Owens	Kelly Lee Owens	2017
Lana Del Rey - Lust for Life	32	July 21, 2017	Dream Pop	Lana Del Rey	Lust for Life	2017
Kamasi Washington - Harmony of Difference	31	September 29, 2017	Jazz	Kamasi Washington	Harmony of Difference	2017
Slowdive - Slowdive	30	May 5, 2017	Dream Pop	Slowdive	Slowdive	2017
Run the Jewels - Run the Jewels 3	29	December 25, 2016	Hip Hop	Run the Jewels	Run the Jewels 3	2017
Ibeyi - Ash	28	September 29, 2017	Art Pop	Ibeyi	Ash	2017
Future - HNDRXX	27	February 24, 2017	Hip Hop	Future	HNDRXX	2017
Jay Som - Everybody Works	26	March 10, 2017	Indie Rock	Jay Som	Everybody Works	2017
Priests - Nothing Feels Natural	25	January 27, 2017	Post-Punk	Priests	Nothing Feels Natural	2017
Thundercat - Drunk	24	February 24, 2017	Neo-Soul	Thundercat	Drunk	2017
Big Thief - Capacity	23	June 9, 2017	Indie Rock	Big Thief	Capacity	2017
St. Vincent - MASSEDUCTION	22	October 13, 2017	Art Pop	St. Vincent	MASSEDUCTION	2017
Arca - Arca	21	April 7, 2017	Art Pop	Arca	Arca	2017
Björk - Utopia	20	November 24, 2017	Art Pop	Björk	Utopia	2017
Migos - Culture	19	January 27, 2017	Hip Hop	Migos	Culture	2017
Julien Baker - Turn Out the Lights	18	October 27, 2017	Singer-Songwriter	Julien Baker	Turn Out the Lights	2017
Charlotte Gainsbourg - Rest	17	November 17, 2017	Art Pop	Charlotte Gainsbourg	Rest	2017
Perfume Genius - No Shape	16	May 5, 2017	Art Pop	Perfume Genius	No Shape	2017
Sampha - Process	15	February 3, 2017	Alternative R&B	Sampha	Process	2017
Mount Eerie - A Crow Looked at Me	14	March 24, 2017	Singer-Songwriter	Mount Eerie	A Crow Looked at Me	2017
Jay-Z - 4:44	13	June 30, 2017	Hip Hop	Jay-Z	4:44	2017
LCD Soundsystem - American Dream	12	September 1, 2017	Dance Punk	LCD Soundsystem	American Dream	2017
The War on Drugs - A Deeper Understanding	11	August 25, 2017	Heartland Rock	The War on Drugs	A Deeper Understanding	2017
Jlin - Black Origami	10	May 19, 2017	Footwork	Jlin	Black Origami	2017
Fever Ray - Plunge	9	October 27, 2017	Electropop	Fever Ray	Plunge	2017
Tyler, the Creator - Flower Boy	8	July 21, 2017	Experimental Hip Hop	Tyler, the Creator	Flower Boy	2017
Vince Staples - Big Fish Theory	7	June 23, 2017	Hip Hop	Vince Staples	Big Fish Theory	2017
Moses Sumney - Aromanticism	6	September 22, 2017	Art Pop	Moses Sumney	Aromanticism	2017
Lorde - Melodrama	5	June 16, 2017	Art Pop	Lorde	Melodrama	2017
Kelela - Take Me Apart	4	October 6, 2017	Alternative R&B	Kelela	Take Me Apart	2017
King Krule - The OOZ	3	October 13, 2017	Art Rock	King Krule	The OOZ	2017
SZA - Ctrl	2	June 9, 2017	Alternative R&B	SZA	Ctrl	2017
Kendrick Lamar - DAMN.	1	April 14, 2017	Hip Hop	Kendrick Lamar	DAMN.	2017
SOB X RBE - Gangin	50	February 23, 2018	Hip Hop	SOB X RBE	Gangin	2018.htm
Georgia Anne Muldrow - Overload	49	October 26, 2018	Neo-Soul	Georgia Anne Muldrow	Overload	2018.htm
Kamasi Washington - Heaven and Earth	48	June 22, 2018	Jazz Fusion	Kamasi Washington	Heaven and Earth	2018.htm
Skee Mask - Compro	47	May 15, 2018	Ambient Techno	Skee Mask	Compro	2018.htm
Blood Orange - Negro Swan	46	August 24, 2018	Alternative R&B	Blood Orange	Negro Swan	2018.htm
Cat Power - Wanderer	45	October 5, 2018	Singer-Songwriter	Cat Power	Wanderer	2018.htm
Camp Cope - How to Socialise & Make Friends	44	March 2, 2018	Indie Rock	Camp Cope	How to Socialise & Make Friends	2018.htm
Sleep - The Sciences	43	April 20, 2018	Stoner Metal	Sleep	The Sciences	2018.htm
Adrianne Lenker - abysskiss	42	October 5, 2018	Indie Folk	Adrianne Lenker	abysskiss	2018.htm
Jeremih & Ty Dolla $ign - Mih-Ty	41	October 26, 2018	R&B	Jeremih & Ty Dolla $ign	Mih-Ty	2018.htm
Iceage - Beyondless	40	May 4, 2018	Post-Punk	Iceage	Beyondless	2018.htm
The Internet - Hive Mind	39	July 20, 2018	Neo-Soul	The Internet	Hive Mind	2018.htm
Kali Uchis - Isolation	38	April 6, 2018	Neo-Soul	Kali Uchis	Isolation	2018.htm
JPEGMAFIA - Veteran	37	January 19, 2018	Experimental Hip Hop	JPEGMAFIA	Veteran	2018.htm
Rico Nasty - Nasty	36	June 15, 2018	Trap Rap	Rico Nasty	Nasty	2018.htm
A.A.L. (Against All Logic) - 2012 - 2017	35	February 17, 2018	Deep House	A.A.L. (Against All Logic)	2012	2018.htm
Neneh Cherry - Broken Politics	34	October 19, 2018	Art Pop	Neneh Cherry	Broken Politics	2018.htm
Sheck Wes - MUDBOY	33	October 5, 2018	Trap Rap	Sheck Wes	MUDBOY	2018.htm
Let's Eat Grandma - I'm All Ears	32	June 29, 2018	Art Pop	Let's Eat Grandma	I'm All Ears	2018.htm
Arctic Monkeys - Tranquility Base Hotel & Casino	31	May 11, 2018	Psychedelic Pop	Arctic Monkeys	Tranquility Base Hotel & Casino	2018.htm
Christine and the Queens - Chris	30	September 21, 2018	Synthpop	Christine and the Queens	Chris	2018.htm
boygenius - boygenius EP	29	October 26, 2018	Indie Folk	boygenius	boygenius EP	2018.htm
Deafheaven - Ordinary Corrupt Human Love	28	July 13, 2018	Blackgaze	Deafheaven	Ordinary Corrupt Human Love	2018.htm
Soccer Mommy - Clean	27	March 2, 2018	Indie Pop	Soccer Mommy	Clean	2018.htm
Vince Staples - FM!	26	November 2, 2018	Hip Hop	Vince Staples	FM!	2018.htm
Playboi Carti - Die Lit	25	May 11, 2018	Trap Rap	Playboi Carti	Die Lit	2018.htm
Julia Holter - Aviary	24	October 26, 2018	Progressive Pop	Julia Holter	Aviary	2018.htm
Travis Scott - ASTROWORLD	23	August 3, 2018	Trap Rap	Travis Scott	ASTROWORLD	2018.htm
U.S. Girls - In a Poem Unlimited	22	February 16, 2018	Neo-Psychedelia	U.S. Girls	In a Poem Unlimited	2018.htm
The 1975 - A Brief Inquiry Into Online Relationships	21	November 30, 2018	Art Pop	The 1975	A Brief Inquiry Into Online Relationships	2018.htm
Beach House - 7	20	May 11, 2018	Dream Pop	Beach House	7	2018.htm
Cardi B - Invasion of Privacy	19	April 6, 2018	Trap Rap	Cardi B	Invasion of Privacy	2018.htm
SOPHIE - OIL OF EVERY PEARL'S UN-INSIDES	18	June 15, 2018	Post-Industrial	SOPHIE	OIL OF EVERY PEARL'S UN-INSIDES	2018.htm
Pusha T - Daytona	17	May 25, 2018	Hip Hop	Pusha T	Daytona	2018.htm
Jon Hopkins - Singularity	16	May 4, 2018	Microhouse	Jon Hopkins	Singularity	2018.htm
Noname - Room 25	15	September 14, 2018	Hip Hop	Noname	Room 25	2018.htm
Amen Dunes - Freedom	14	March 30, 2018	Neo-Psychedelia	Amen Dunes	Freedom	2018.htm
Tirzah - Devotion	13	August 10, 2018	Art Pop	Tirzah	Devotion	2018.htm
cupcakKe - Ephorize	12	January 5, 2018	Trap Rap	cupcakKe	Ephorize	2018.htm
Ariana Grande - Sweetener	11	August 17, 2018	R&B	Ariana Grande	Sweetener	2018.htm
Yves Tumor - Safe in the Hands of Love	10	September 5, 2018	Post-Industrial	Yves Tumor	Safe in the Hands of Love	2018.htm
Tierra Whack - Whack World	9	May 30, 2018	Pop Rap	Tierra Whack	Whack World	2018.htm
Low - Double Negative	8	September 14, 2018	Ambient Pop	Low	Double Negative	2018.htm
Earl Sweatshirt - Some Rap Songs	7	November 30, 2018	Experimental Hip Hop	Earl Sweatshirt	Some Rap Songs	2018.htm
Rosalía - El Mal Querer	6	November 2, 2018	Art Pop	Rosalía	El Mal Querer	2018.htm
Snail Mail - Lush	5	June 8, 2018	Indie Rock	Snail Mail	Lush	2018.htm
Robyn - Honey	4	October 26, 2018	Electropop	Robyn	Honey	2018.htm
DJ Koze - Knock Knock	3	May 4, 2018	Deep House	DJ Koze	Knock Knock	2018.htm
Kacey Musgraves - Golden Hour	2	March 30, 2018	Country Pop	Kacey Musgraves	Golden Hour	2018.htm
Mitski - Be the Cowboy	1	August 17, 2018	Indie Rock	Mitski	Be the Cowboy	2018.htm