id,company,verdict,detail,source
TXT,Textron Inc.,continued_as,"Modern ticker = TXT (same NYSE symbol throughout). The pre-1970 TXT is NOT a different company and this is NOT ticker reuse: Textron is one continuous corporate entity founded 1923 (Special Yarns Corp -> Atlantic Rayon 1935 -> ""Textron Incorporated"" 1945 -> ""Textron Inc."" 1956), NYSE-listed since 1947, and it transformed into the modern aerospace/industrial conglomerate via Bell Aerospace/E-Z-GO in 1960. It was never acquired, merged out, renamed, or delisted during 1970-1978 — it traded continuously on the NYSE as TXT the whole time. Therefore the 1970-Q1 -> 1978-Q4 GAP is a data artifact, not a real exit/removal. The ""1978-12-31"" figure that appears as Textron's S&P 500 ""date added"" in common datasets (e.g. fja05680/sp500, datasets/s-and-p-500-companies) is a placeholder marking the start of each dataset's reliable change-tracking window, NOT a genuine re-entry date; Textron was already an index constituent before then (it joined in the 1960s after diversifying out of textiles — it is correctly absent from the 86 firms continuously in the index since the March 1957 launch, when it was still essentially a textile company). Verdict: membership did NOT really end in 1970; the same company (modern Textron, TXT) is continuous to 2026 — a data ghost.",https://en.wikipedia.org/wiki/Textron ; https://www.textron.com/About/Company/History ; https://www.globalpapermoney.com/s-p-releases-list-of-86-companies-in-the-s-p-500-since-1957-cms-1023 ; https://github.com/fja05680/sp500
ADM,Archer-Daniels-Midland Company,continued_as,"Modern ticker = ADM (same company, no change). The pre-1970 and post-1981 spans are the SAME entity: Archer Daniels Midland, listed on the NYSE since 1924 and using the ""ADM"" ticker/initials since 1962 — NOT a different company reusing the ticker. The 1970-Q1 to 1981-Q3 gap is an S&P 500 index-membership artifact, not a corporate exit: ADM was a constituent, was dropped in the early 1970s, then re-added to the S&P 500 on July 29, 1981 (matching the data resuming at 1981-Q3). ADM has been a continuous S&P 500 member from 1981 through 2026 with no merger/acquisition/delisting. (Note: Wikipedia's current ""List of S&P 500 companies"" shows an ""added"" date of 1957-03-04 for ADM, which is the index-inception placeholder, not the real 1981 re-add date.)","https://en.wikipedia.org/wiki/Archer_Daniels_Midland ; https://en.wikipedia.org/wiki/List_of_S%26P_500_companies ; https://www.wikidata.org/wiki/Q632694 (S&P 500 add date July 29, 1981)"
Lockheed Martin,Lockheed Martin Corporation,continued_as,"Successor/modern ticker = LMT (NYSE). Lockheed Martin was formed in March 1995 from the merger of Lockheed Corp. and Martin Marietta, took an existing S&P 500 seat, and has remained a continuous S&P 500 constituent ever since — including straight through 2000/2001 (a 2001 Morgan Stanley Dean Witter S&P 500 Index Fund holdings filing lists LMT, confirming no removal). It is still in the S&P 500 as of 2026. The 2000-12 ""end"" is a data-ghost truncation artifact, not a real exit; the membership continues under ticker LMT.","SEC EDGAR — Morgan Stanley Dean Witter S&P 500 Index Fund Form N-30D FY2001 (lists LMT as holding) https://www.sec.gov/Archives/edgar/data/0001041237/000095013601000758/0001.txt ; current S&P 500 constituent lists (Wikipedia ""List of S&P 500 companies"", aerospace/defense S&P 500 lists)"
Wells Fargo,Wells Fargo & Company,continued_as,"Modern ticker = WFC. The 2000-12 cutoff is a data artifact (data ghost), not a real exit — Wells Fargo & Company (NYSE: WFC) has been a continuous S&P 500 component from the 1998 merger through today. The ""(new)"" entity is the post-merger company: on Nov 2, 1998, legacy Wells Fargo (CIK 105598, ticker WFC) merged INTO Norwest Corporation (CIK 0000072971, ticker NOB); Norwest was the legal surviving corporation, renamed itself ""Wells Fargo & Company,"" and switched its ticker from NOB to WFC. Both Norwest and old Wells Fargo were S&P 500 members, so the surviving renamed entity stayed in the index uninterrupted under WFC. Real successor ticker = WFC.","https://en.wikipedia.org/wiki/Norwest_Corporation ; https://en.wikipedia.org/wiki/Wells_Fargo_(1852%E2%80%931998) ; SEC EDGAR CIK 0000072971 (Wells Fargo & Co/MN, formerly Norwest Corp)"
CGP,The Coastal Corporation,real_exit,"Exit ~2001-01-29 (data span end 2000-Q4): acquired/merged into El Paso Energy Corp, which completed its ~$24B all-stock merger with Coastal on Jan 29, 2001 (FTC cleared Jan 2001; deal announced Jan 2000). Coastal (NYSE: CGP) ceased to exist as an independent public company; Coastal holders got 1.23 El Paso Energy (EPG) shares each. This is a true acquisition exit, NOT a rename of the same entity — El Paso Energy was a separate, larger acquirer already publicly traded as EPG. El Paso Energy renamed itself El Paso Corporation (NYSE: EP) in Feb 2001 and was itself later removed from the S&P 500 when Kinder Morgan acquired it effective ~May 24-25, 2012.",https://www.ftc.gov/news-events/news/press-releases/2001/01/ftc-clears-merger-el-paso-energy-coastal-corp ; https://www.ogj.com/exploration-development/reserves/article/17260753/el-paso-energy-completes-merger-with-coastal-corp ; https://en.wikipedia.org/wiki/Coastal_Corporation ; https://en.wikipedia.org/wiki/El_Paso_Corp.
CS,"Cabletron Systems Inc. (the 1995-2000 ""CS""; NOT Cities Service Co., which the Chen name mislabels)",ticker_reuse,"The ""CS"" ticker covers TWO unrelated companies. Old ""CS"" = Cities Service Co., acquired by Occidental Petroleum on 1982-12-03 (exited the index then). The 1995-2000 ""CS"" span is a DIFFERENT company: Cabletron Systems Inc., which traded on the NYSE under ticker CS and was an S&P 500 constituent in the late 1990s. (It is NOT Credit Suisse, a Swiss ADR ineligible for the S&P 500.) Cabletron's real S&P 500 exit was in late 2000 (~December 2000, consistent with the 2000-Q4 end): it reorganized into a holding company in 2000 and split into four firms (Enterasys, Riverstone, Aprisma, GlobalNetwork). The legacy entity was renamed Enterasys Networks, which began trading on the NYSE under ticker ETS on 2001-08-06. So the data row mislabels Cabletron as ""Cities Service"" because both used the CS ticker; the 2000-Q4 end is Cabletron's genuine deletion as it dismantled itself, not Cities Service's 1982 acquisition.",https://en.wikipedia.org/wiki/Cabletron_Systems ; https://en.wikipedia.org/wiki/Enterasys_Networks ; https://www.upi.com/Archives/1982/12/03/Oxy-completes-Cities-Service-merger/7312407739600/ ; https://en.wikipedia.org/wiki/Cities_Service
FON,"Sprint Corporation (formerly United Telecommunications, Inc.)",continued_as,"Data ghost / ticker-continuity artifact, NOT a 2000 exit. FON (""Fiber Optic Network"") was Sprint Corporation's NYSE ticker (and that of predecessor United Telecommunications). The ""ends 2000-Q4"" cutoff is not an index exit: in Nov 2000 Sprint split its common into two tracking stocks of the SAME legal entity — Sprint FON Group (NYSE: FON, wireline) and Sprint PCS Group (NYSE: PCS, wireless). The company stayed in the S&P 500 continuously. PCS was recombined back into FON on April 23, 2004 (FON again represented all operations). On Aug 12-15, 2005 Sprint merged with Nextel and the ticker changed from FON to ""S"" (Sprint Nextel Corporation) — so the modern/successor ticker is ""S"". It remained an S&P 500 member through the 2013 SoftBank deal (renamed back to Sprint Corporation, still ""S""). The REAL exit came when T-Mobile US acquired Sprint: merger effective April 1, 2020 (each Sprint share -> 0.10256 TMUS share), NYSE delisting of ""S"" filed April 13, 2020; the index seat effectively rolled into T-Mobile US (TMUS). The 1983-1989 gap in the FON span reflects the mid-1980s United Telecom / GTE-Sprint joint-venture reorganization period, not a permanent departure. Bottom line: FON/Sprint did NOT leave the S&P 500 around 2000/2001 — it continued as ""S"" until the 2020 T-Mobile acquisition.","https://en.wikipedia.org/wiki/Sprint_Corporation ; https://www.nbcnews.com/id/wbna4414964 (2004 tracking-stock recombination, PCS->FON); SEC Form 8-K FY2005 (Sprint Nextel begins trading as ""S"" on Aug 15, 2005); SEC Form 25-NSE FY2020 / https://en.wikipedia.org/wiki/Merger_of_Sprint_Corporation_and_T-Mobile_US (April 1, 2020 merger effective; ""S"" delisted April 13, 2020; 0.10256 TMUS per Sprint share)"
SUB,Summit Bancorp,real_exit,"Exit ~2001-03-01 (early Q1 2001), reason: acquired/merged. Summit Bancorp (NYSE: SUB), a New Jersey bank holding company, merged into FleetBoston Financial Corporation on March 1, 2001 in a $7.0B all-stock deal (announced Oct 1-2, 2000; Summit holders received 1.02 Fleet shares each). Summit ceased to exist as an independent public company and was removed from the S&P 500 at the merger's effective close, consistent with the data ending after 2000-Q4 (its last full quarter). Not a data artifact: there is no successor that kept Summit in the index under another ticker (FleetBoston was itself later bought by Bank of America in 2004). The modern ticker SUB is an unrelated iShares municipal-bond ETF (BlackRock, launched Nov 2008), not a successor company.","FleetBoston Financial SEC Form 8-K (FY2001), https://www.sec.gov/Archives/edgar/data/0000050341/000089882201000276/0001.txt ; ABC News ""FleetBoston Acquires Summit for $7B"" https://abcnews.go.com/Business/story?id=89273&page=1 ; Summit Bancorp Wikipedia https://en.wikipedia.org/wiki/Summit_Bancorp ; iShares SUB ETF identity https://stockanalysis.com/etf/sub/"
UK,Union Carbide Corporation,real_exit,"Exit ~2001-02-06 (merger close), reason: acquired by Dow Chemical. Union Carbide (NYSE: UK) became a wholly owned subsidiary of The Dow Chemical Company on Feb 6, 2001, after FTC approval Feb 5, 2001; UK stock ceased trading at close of business that day and was removed from the S&P 500. Dow Chemical was already its own long-standing, separate S&P 500 / DJIA member, so the surviving index entity is Dow Chemical (a different company), not a continuation of Union Carbide. The dataset's 2000-Q4 endpoint is a near-correct truncation of this real early-Q1-2001 exit, NOT a data artifact / ghost. (Note: UK was also previously dropped from the DJIA on 1999-11-01, but it remained an S&P 500 component until the 2001 acquisition.)","https://en.wikipedia.org/wiki/Union_Carbide ; https://www.sec.gov/Archives/edgar/data/29915/000002991501500005/eightkone.htm (Dow 8-K: ""Dow completes merger with Union Carbide,"" Feb 6, 2001)"
ACT,"No genuine S&P 500 constituent ever traded under ticker ""ACT""; the record is a corrupted ticker. Best real-world referent: Aetna Inc. (NYSE: AET) — alternatively Associates First Capital (NYSE: AFS).",real_exit,"The membership really ended in Q4 2000 via M&A; ""ACT"" is a garbled ticker, not a data-ghost or a reuse of a still-listed name. Verification: the authoritative fja05680 daily reconstruction (S&P 500 Historical Components & Changes, snapshots since 1996) contains NO token ""ACT"" in any year, and no real S&P 500 member of 1999-2000 used the symbol ACT (the small ACT firms — ACT Networks, ACT Manufacturing — were never index members). The confirmed Q4-2000 S&P 500 acquisition exits are: Bestfoods/BFO (Unilever, completed 2000-10-04), Mallinckrodt/MKG (Tyco, Oct 2000), Associates First Capital/AFS (Citigroup, completed 2000-11-30), PaineWebber/PWJ (UBS, 2000-11-03), Columbia Energy/CG (NiSource, Nov 2000), Nabisco Group Holdings/NGH (R.J. Reynolds, Dec 2000), J.P. Morgan/JPM (Chase, 2000-12-31), Seagate/SEG, Seagram/VO, Florida Progress/FPC. The most likely real referent is Aetna Inc., whose old conglomerate entity left the index on 2000-12-13 when its financial/international business merged into ING and the health business was spun off as a new Aetna Inc. (which retained AET) — ""AET""->""ACT"" is a single-character transposition. The ""short 1999-2000 span"" instead fits Associates First Capital (recently public Ford spinoff, acquired by Citigroup 2000-11-30), ticker AFS. Either way the exit is real (acquisition/restructuring, Q4 2000), NOT a continuation. Ruling out continued_as: the modern ACT = Enact Holdings, Inc. (Nasdaq), a Genworth private-mortgage-insurance spinoff that IPO'd 2021-09-16 and has never been in the S&P 500 — a wholly unrelated later ticker reuse, not a successor to the 1999-2000 entity.","fja05680/sp500 GitHub historical components (raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes.csv — no ""ACT"" token in any snapshot); Aetna/ING spinoff completed 2000-12-13 (SEC 8-K, CIK 1013761; Aetna Wikipedia); Aetna ticker = AET throughout (markets.financialcontent.com NYSE:AET); Citigroup completed Associates First Capital (AFS) acquisition 2000-11-30 (Deseret News 2000-12-01; SEC); Enact Holdings ACT began trading Nasdaq 2021-09-16 (Genworth/PRNewswire IPO release), never in S&P 500."
REI,"Reliant Energy, Incorporated (formerly Houston Industries Incorporated; now CenterPoint Energy, Inc.)",continued_as,"CNP (CenterPoint Energy). The REI span is a data ghost, not a real exit. The same continuous legal entity (SEC CIK 0000048732) was an S&P 500 member as Houston Industries (NYSE: HOU) through early 1999, renamed to Reliant Energy on Feb 8, 1999 with ticker changing HOU->REI, and continued in the index. It did NOT leave the S&P 500 in Q4 2000 (that is the data's tracking cutoff for the REI label). On Aug 31, 2002 a restructuring made CenterPoint Energy, Inc. the new holding company; it began trading as NYSE: CNP on Oct 1, 2002 (Reliant Resources/Texas Genco were spun off). CenterPoint Energy (CNP) remains an S&P 500 component today. So the index seat never exited; only the ticker changed REI -> CNP.",https://en.wikipedia.org/wiki/CenterPoint_Energy ; https://www.naturalgasintel.com/houston-industries-becomes-reliant-energy/ ; SEC EDGAR CIK 0000048732 (Houston Industries -> Reliant Energy 8-K filings); https://www.sec.gov/Archives/edgar/data/0001130310 (CenterPoint Energy CNP 2002 8-K12B)
